"Sector","Avg_Dividend_Yield"
"Real_Estate",3.7756862745098
"Consumer_Defense",3.57843137254902
"Utilities",3.05294117647059
"Energy",2.42313725490196
"Financial_Serv",2.38494117647059
"Consumer_Cycle",2.29745098039216
"Communication_Serv",2.10294117647059
"Technology",1.75470588235294
"Healthcare",1.72705882352941
"Basic_Materials",1.63274509803922
"Industrials",1.47901960784314
