"Ticker","Date","Close","High","Low","Open","Volume","Symbol","Daily_Return","Cumulative_Return","Sector"
"WU","2010-01-04",9.24119853973389,9.31381122934325,9.22183466340049,9.24603950881724,4277900,"WU",NA,1,"Financial_Serv"
"WU","2010-01-05",9.20247268676758,9.27024441448416,9.08629218640178,9.27024441448416,3914900,"WU",-0.00419056606129617,0.995809433938704,"Financial_Serv"
"WU","2010-01-06",9.19763278961182,9.22183671709832,9.1347020241545,9.14438304115672,4207900,"WU",-0.000525934422247306,0.995285703479397,"Financial_Serv"
"WU","2010-01-07",9.49292087554932,9.5510106425089,9.12501563263126,9.15890148391105,8256900,"WU",0.0321047918189352,1.02723914378997,"Financial_Serv"
"WU","2010-01-08",9.58489799499512,9.58973896355332,9.42030875729768,9.48808139379214,5673900,"WU",0.00968902202510757,1.0371920864792,"Financial_Serv"
"WU","2010-01-11",9.66719627380371,9.67687821458565,9.55585672477345,9.66235530341274,5324200,"WU",0.00858624461643378,1.04609767144794,"Financial_Serv"
"WU","2010-01-12",9.60910606384277,9.63815096162285,9.39610799237402,9.61878800420968,5087200,"WU",-0.00600900285001465,1.03981166755881,"Financial_Serv"
"WU","2010-01-13",9.7446460723877,9.80757773908564,9.62846559923801,9.64298850462685,5782200,"WU",0.0141053712639236,1.05447859717429,"Financial_Serv"
"WU","2010-01-14",9.62362289428711,9.72044039943557,9.55585119467528,9.72044039943557,3248600,"WU",-0.0124194534313068,1.04138254934238,"Financial_Serv"
"WU","2010-01-15",9.45419502258301,9.65267010606387,9.43483114940424,9.65267010606387,4712600,"WU",-0.017605414672335,1.02304857772867,"Financial_Serv"
"WU","2010-01-19",9.6139440536499,9.6139440536499,9.39126411084626,9.43967287435317,5510000,"WU",0.0168971584238855,1.04033519162188,"Financial_Serv"
"WU","2010-01-20",9.43967247009277,9.5413300381154,9.36705978960228,9.5413300381154,5009000,"WU",-0.0181269604425217,1.02147707675639,"Financial_Serv"
"WU","2010-01-21",9.40578937530518,9.56069671871251,9.34769865986713,9.47356110721574,6601200,"WU",-0.00358943542744176,1.01781055074876,"Financial_Serv"
"WU","2010-01-22",9.10081005096436,9.42514748053524,9.03303835393526,9.39126163202069,8153700,"WU",-0.0324246389294599,0.984808411142136,"Financial_Serv"
"WU","2010-01-25",9.01851749420166,9.25087936566328,8.95558675032519,9.25087936566328,4601800,"WU",-0.00904233318812926,0.975903445362117,"Financial_Serv"
"WU","2010-01-26",8.86360836029053,9.01851562697888,8.82972251111747,8.93622102613568,6389800,"WU",-0.017176784766535,0.959140561928212,"Financial_Serv"
"WU","2010-01-27",8.88297653198242,8.93138530709514,8.80552286113031,8.8345677568697,5930200,"WU",0.00218513396628229,0.96123641254852,"Financial_Serv"
"WU","2010-01-28",8.83456516265869,8.96042757166487,8.78615640176088,8.93622272955581,5696400,"WU",-0.00544990399889377,0.95599776637989,"Financial_Serv"
"WU","2010-01-29",8.97494983673096,9.12017518574488,8.86845038568851,8.92654107928623,6724300,"WU",0.0158903886594932,0.971188942445273,"Financial_Serv"
"WU","2010-02-01",8.9943151473999,9.0524058562508,8.90717954578381,9.03304197886033,6174400,"WU",0.00215770684195812,0.973284483471222,"Financial_Serv"
"WU","2010-02-02",9.12501430511475,9.13953628308187,8.96526608423594,8.99915193058598,5609400,"WU",0.0145313073394617,0.987427579429271,"Financial_Serv"
"WU","2010-02-03",8.31175327301025,8.81520202791688,8.08423327803481,8.26334450805452,50847200,"WU",-0.0891243569501742,0.89942373137777,"Financial_Serv"
"WU","2010-02-04",8.00677871704102,8.17620799022557,7.85187050205468,8.13264019902946,34294500,"WU",-0.0366919644931648,0.866422107761747,"Financial_Serv"
"WU","2010-02-05",7.98741626739502,8.00678014396434,7.67276065970719,7.95353040671916,16719900,"WU",-0.00241825712065534,0.864326876330159,"Financial_Serv"
"WU","2010-02-08",7.82282304763794,8.0116161319643,7.8131411142571,8.00193512190346,14785800,"WU",-0.0206065659090483,0.8465160675861,"Financial_Serv"
