"Sector","Average_PEG_Ratio"
"Basic_Materials",3.60086862745098
"Communication_Serv",20.544968627451
"Consumer_Cycle",1.58439215686275
"Consumer_Defense",2.96220196078431
"Energy",3.11092941176471
"Financial_Serv",2.72798039215686
"Healthcare",1.45666078431373
"Industrials",2.10816274509804
"Real_Estate",17.2511470588235
"Technology",1.43710588235294
"Utilities",2.36756470588235
